"Timestamp";"PacketNr.";"SpO2";"Plethy";"RawPlethy";"Pulsationstrength";"Pulse";"Signalquality";"Status"
"12:21:41.369";"1439";"96";"139";"1007823";"80";"63";"100";"0"
;;;"128";"1013561";;;;
;;;"118";"1018916";;;;
;;;"107";"1024494";;;;
;;;"97";"1030008";;;;
"12:21:41.580";"1440";"96";"88";"1035969";"77";"63";"100";"0"
;;;"79";"1041356";;;;
;;;"72";"1046679";;;;
;;;"65";"1051365";;;;
;;;"60";"1057453";;;;
"12:21:41.769";"1441";"96";"55";"1062648";"76";"63";"100";"0"
;;;"52";"1052703";;;;
;;;"59";"1025482";;;;
;;;"89";"999950";;;;
;;;"131";"980985";;;;
"12:21:41.980";"1442";"96";"172";"969573";"77";"63";"100";"0"
;;;"200";"965175";;;;
;;;"213";"968968";;;;
;;;"212";"972888";;;;
;;;"203";"975088";;;;
"12:21:42.170";"1443";"96";"192";"977191";"80";"63";"100";"0"
;;;"183";"980921";;;;
;;;"174";"985479";;;;
;;;"164";"991503";;;;
;;;"153";"996858";;;;
"12:21:42.379";"1444";"96";"142";"1003074";"80";"63";"100";"0"
;;;"130";"1008493";;;;
;;;"120";"1014039";;;;
;;;"109";"1019776";;;;
;;;"99";"1024813";;;;
"12:21:42.570";"1445";"96";"90";"1030455";"80";"63";"100";"0"
;;;"82";"1035618";;;;
;;;"74";"1040176";;;;
;;;"68";"1046105";;;;
;;;"62";"1051460";;;;
"12:21:42.780";"1446";"96";"58";"1046265";"80";"63";"100";"0"
;;;"61";"1020095";;;;
;;;"86";"992236";;;;
;;;"128";"971581";;;;
;;;"171";"958385";;;;
"12:21:42.969";"1447";"96";"201";"953445";"82";"63";"100";"0"
;;;"217";"955548";;;;
;;;"217";"959756";;;;
;;;"208";"962051";;;;
;;;"197";"963836";;;;
"12:21:43.180";"1448";"96";"188";"966991";"83";"63";"100";"0"
;;;"179";"971868";;;;
;;;"169";"977000";;;;
;;;"158";"982865";;;;
;;;"146";"989145";;;;
"12:21:43.370";"1449";"96";"135";"994659";"83";"63";"100";"0"
;;;"124";"999090";;;;
;;;"114";"1004859";;;;
;;;"104";"1010596";;;;
;;;"94";"1015792";;;;
"12:21:43.579";"1450";"96";"85";"1021020";"82";"63";"100";"0"
;;;"77";"1025546";;;;
;;;"71";"1031028";;;;
;;;"65";"1037053";;;;
;;;"60";"1038615";;;;
"12:21:43.770";"1451";"96";"58";"1020446";"82";"63";"100";"0"
;;;"72";"992013";;;;
;;;"108";"968330";;;;
;;;"151";"953221";;;;
;;;"187";"944966";;;;
"12:21:43.980";"1452";"96";"208";"945030";"83";"63";"100";"0"
;;;"214";"949524";;;;
;;;"208";"952520";;;;
;;;"198";"954210";;;;
;;;"188";"957078";;;;
"12:21:44.169";"1453";"96";"179";"961126";"83";"62";"100";"0"
;;;"170";"965844";;;;
;;;"159";"971773";;;;
;;;"148";"977287";;;;
;;;"137";"982993";;;;
"12:21:44.380";"1454";"96";"127";"988284";"81";"62";"100";"0"
;;;"117";"993926";;;;
;;;"106";"998803";;;;
;;;"97";"1004285";;;;
;;;"88";"1010341";;;;
"12:21:44.570";"1455";"96";"80";"1015346";"79";"62";"100";"0"
;;;"73";"1020510";;;;
;;;"66";"1025323";;;;
;;;"61";"1031283";;;;
;;;"57";"1026311";;;;
"12:21:44.783";"1456";"96";"60";"1000524";"79";"62";"100";"0"
;;;"84";"974514";;;;
;;;"125";"956090";;;;
;;;"164";"944902";;;;
;;;"192";"942193";;;;
"12:21:44.970";"1457";"96";"205";"946305";"80";"62";"100";"0"
;;;"204";"949970";;;;
;;;"195";"952456";;;;
;;;"185";"954751";;;;
;;;"176";"958608";;;;
"12:21:45.183";"1458";"96";"168";"963453";"80";"62";"100";"0"
;;;"158";"968968";;;;
;;;"147";"974418";;;;
;;;"136";"981048";;;;
;;;"126";"986563";;;;
"12:21:45.369";"1459";"96";"114";"991726";"77";"62";"100";"0"
;;;"104";"996444";;;;
;;;"95";"999727";;;;
;;;"89";"998101";;;;
;;;"87";"993990";;;;
"12:21:45.570";"1460";"96";"92";"994755";"75";"62";"100";"0"
;;;"96";"1002118";;;;
;;;"92";"1009449";;;;
;;;"83";"1015633";;;;
;;;"74";"1020191";;;;
"12:21:45.769";"1461";"96";"67";"1024207";"74";"62";"100";"0"
;;;"62";"1027968";;;;
;;;"59";"1032526";;;;
;;;"56";"1037786";;;;
;;;"53";"1043906";;;;
"12:21:45.979";"1462";"96";"50";"1049516";"74";"62";"100";"0"
;;;"46";"1053723";;;;
;;;"44";"1057357";;;;
;;;"44";"1060959";;;;
;;;"45";"1064529";;;;
"12:21:46.170";"1463";"96";"46";"1068003";"73";"62";"100";"0"
;;;"47";"1071191";;;;
;;;"48";"1073932";;;;
;;;"50";"1077120";;;;
;;;"52";"1080180";;;;
"12:21:46.369";"1464";"96";"52";"1083622";"72";"62";"100";"0"
;;;"53";"1087288";;;;
;;;"53";"1090826";;;;
;;;"53";"1093854";;;;
;;;"54";"1097073";;;;
"12:21:46.569";"1465";"96";"55";"1101408";"70";"62";"100";"0"
;;;"54";"1098508";;;;
;;;"58";"1071000";;;;
;;;"84";"1037690";;;;
;;;"130";"1008780";;;;
"12:21:46.770";"1466";"96";"183";"986850";"72";"62";"100";"0"
;;;"224";"973462";;;;
;;;"242";"970370";;;;
;;;"250";"972123";;;;
;;;"245";"973207";;;;
"12:21:46.970";"1467";"96";"234";"973398";"79";"62";"99";"0"
;;;"223";"973876";;;;
;;;"213";"975980";;;;
;;;"203";"979391";;;;
;;;"192";"983503";;;;
"12:21:47.170";"1468";"96";"181";"988380";"84";"62";"100";"0"
;;;"170";"995360";;;;
;;;"157";"1000110";;;;
;;;"145";"1005178";;;;
;;;"135";"1008843";;;;
